state,abbr,expansion,provider_class,structure,effective_rate_pct,native_rate,rate_basis,revenue_base_used,source_url,retrieved_date,confidence,waiver_flag,notes
Alabama,AL,False,hospital,percentage,2.0,2.00% net patient revenue (quarterly),reported,net patient revenue,https://www.revenue.alabama.gov/faqs/hospital-assessment-fee/,2026-06-09,verified,,Live-parsed from AL DOR FAQ page. Non-expansion state — zero phase-down exposure. Rate frozen at July 2025 level under OBBBA. Seed (4.2%) understated; Phase 1 confirmed 2.0%.
Arizona,AZ,True,hospital,amount_targeted,,"per-discharge tiers: general 100%, rehab 80%, peds 5-90% of target",not_comparable,,https://www.azahcccs.gov/PlansProviders/RatesAndBilling/hospitalassessment.html,2026-06-09,verified,,FFY2026 total ~$1.275B in directed payments. Per-discharge structure is not comparable to % cap. AZ primary exposure is via MCO tax (4.5%).
Arizona,AZ,True,mco,percentage,4.5,4.5% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://www.azahcccs.gov/PlansProviders/RatesAndBilling/hospitalassessment.html,2026-06-09,likely,,MCO rate from seed — must be confirmed against CMS SPA for AZ before use.
California,CA,True,hospital,percentage,5.03,"5.03% net patient revenue (HQAF, Prop 52)",reported,net patient revenue,https://www.dhcs.ca.gov/provgovpart/Pages/HospitalQualityAssuranceFeeProgram.aspx,2026-06-09,likely,,Rate ~5.03% per CHA analysis; DHCS page does not display rate directly. Prop 52 made HQAF permanent (2016). Seek current DHCS rate notice for exact figure.
California,CA,True,mco,percentage,4.5,~4.5% (seed/MACPAC; CMS waiver; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://www.dhcs.ca.gov/provgovpart/Pages/HospitalQualityAssuranceFeeProgram.aspx,2026-06-09,likely,,MCO tax from seed; verify against CA DHCS/CMS SPA.
Connecticut,CT,True,hospital,percentage,6.0,6.00% net inpatient revenue (CGS §12-263a et seq.),reported,net inpatient revenue,https://www.cga.ct.gov/2021/pub/chap_211c.htm,2026-06-09,likely,,"Inpatient 6% confirmed from statute text. Outpatient rate >6% reportedly via CMS waiver; not confirmed from primary source — excluded pending CMS waiver document retrieval. 2025 legislation revises base effective July 1, 2026."
District of Columbia,DC,True,hospital,capped,,"$8,454,038/year total (dollar-capped program)",not_comparable,,https://code.dccouncil.gov/us/dc/council/code/sections/44-664.13,2026-06-09,verified,,Dollar-capped program — effective rate is trivially small relative to DC hospital NPR. Seed (5.5%) is incorrect. DC cap exposure should be effectively zero.
District of Columbia,DC,True,mco,percentage,1.5,1.5% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://code.dccouncil.gov/us/dc/council/code/sections/44-664.13,2026-06-09,likely,,MCO rate from seed (1.5%) — below 3.5% floor. Verify against DC DHCF/CMS SPA.
Georgia,GA,False,hospital,percentage,1.45,1.45% net patient revenue (1.40% trauma centers),reported,net patient revenue,https://dch.georgia.gov/providers/provider-types/hospital-providers/provider-fee-payment,2026-06-09,verified,,Live-parsed from GA DCH provider-fee page. Non-expansion state — zero phase-down exposure. Seed (1.5%) close match to confirmed rate (1.45%).
Idaho,ID,True,hospital,amount_targeted,,formula: rate × base = UPL payment (+ 30% GF add-on from July 2023),not_comparable,,https://legislature.idaho.gov/statutesrules/idstat/Title56/T56CH14/SECT56-1404/,2026-06-09,verified,,No published % of NPR. Rate set by DHHS to produce UPL amounts. Seed (0.0%) reflects absence of a standard published rate.
